canonical_id	representative_accession	representative_source	gcf_accession	gca_accession	pair_status	organism_name	tax_id	strain	assembly_level	assembly_status	refseq_category	genome_size_bp	gc_percent	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50	bioproject_accession	biosample_accession	submitter	release_date
CANON_00001	GCF_020889785.1	REFSEQ	GCF_020889785.1	GCA_020889785.1	paired	Bradyrhizobium acaciae	2683706	10BB	Contig	current	reference genome	8471967	63.5	334	334	47328	47328	PRJNA657394	SAMN15826096	University of Pretoria	2021-11-19
CANON_00002	GCF_013178945.1	REFSEQ	GCF_013178945.1	GCA_013178945.1	paired	Bradyrhizobium aeschynomenes	2734909	83002	Contig	current	reference genome	7522254	65.5	58	58	570436	570436	PRJNA631120	SAMN14852462	Yantai Institute of Coastal Zone Research	2020-05-27
CANON_00003	GCF_013178925.1	REFSEQ	GCF_013178925.1	GCA_013178925.1	paired	Bradyrhizobium aeschynomenes	2734909	83012	Contig	current		7496850	65.5	58	58	563104	563104	PRJNA631121	SAMN14852464	Yantai Institute of Coastal Zone Research	2020-05-27
CANON_00004	GCF_013178975.1	REFSEQ	GCF_013178975.1	GCA_013178975.1	paired	Bradyrhizobium aeschynomenes	2734909	81013	Contig	current		7509578	65.5	49	49	410231	410231	PRJNA631123	SAMN14852474	Yantai Institute of Coastal Zone Research	2020-05-27
CANON_00005	GCF_016031625.1	REFSEQ	GCF_016031625.1	GCA_016031625.1	paired	Bradyrhizobium agreste	2751811	CNPSo 4010	Contig	current	reference genome	7877331	64	75	75	251874	251874	PRJNA645156	SAMN15495217	Empresa Brasileira de Pesquisa Agropecuaria	2020-12-14
CANON_00006	GCF_036924595.1	REFSEQ	GCF_036924595.1	GCA_036924595.1	paired	Bradyrhizobium algeriense	634784	AZCC 1608	Contig	current	reference genome	8102604	62.5	1	1	8102604	8102604	PRJNA1069204	SAMN39613212	DOE Joint Genome Institute	2024-02-29
CANON_00007	GCF_003062295.1	REFSEQ	GCF_003062295.1	GCA_003062295.1	paired	Bradyrhizobium algeriense	634784	RST91	Scaffold	current		8907982	62	337	336	242378	242378	PRJNA438074	SAMN08690532	UPM	2018-04-23
CANON_00008	GCA_003062285.1	GENBANK		GCA_003062285.1	unpaired	Bradyrhizobium algeriense	634784	RST89	Scaffold	current		8824342	62	2911	773	5891	38088	PRJNA438070	SAMN08690009	UPM	2018-04-23
CANON_00009	GCF_020889705.1	REFSEQ	GCF_020889705.1	GCA_020889705.1	paired	Bradyrhizobium altum	1571202	Pear77	Contig	current	reference genome	9758985	63.5	613	613	28950	28950	PRJNA657394	SAMN15826095	University of Pretoria	2021-11-19
CANON_00010	GCF_002266435.3	REFSEQ	GCF_002266435.3	GCA_002266435.3	paired	Bradyrhizobium amphicarpaeae	1404768	39S1MB	Complete Genome	current	reference genome	7025930	64.5	1	1	7025930	7025930	PRJNA397110	SAMN07448754	Ottawa Research and Development Center	2024-02-23
