pilot_order	pilot_role	selection_rule	canonical_id	selected_accession	selected_source	selected_status	selection_reason	pair_status	organism_name	assembly_level	genome_size_bp	gc_percent	number_of_contigs	contig_n50	genome_size_modified_z	gc_percent_modified_z	metadata_decision	pangenome_contiguity_class	synteny_class	sequence_qc_status	taxonomy_qc_status	flags	source_metadata_qc_sha256	source_policy_sha256
1	normal_refseq_near_median_1	Clean RefSeq and minimum combined absolute metadata z-score	CANON_01478	GCF_044908355.1	REFSEQ	current	current_refseq_preferred	paired	Bradyrhizobium sp. USDA 336	Contig	8357222	63.5	2	8203493	-0.000774	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending		1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
2	normal_refseq_near_median_2	Clean RefSeq and minimum combined absolute metadata z-score	CANON_00395	GCF_018130945.1	REFSEQ	current	current_refseq_preferred	paired	Bradyrhizobium manausense	Contig	8360168	63.5	50	386452	0.001532	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending		1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
3	normal_genbank_singleton_near_median	Clean GenBank singleton and minimum combined absolute metadata z-score	CANON_00696	GCA_025961105.1	GENBANK	current	current_genbank_singleton	unpaired	Bradyrhizobium ottawaense	Contig	8828304	63.5	2	8417581	0.368	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending		1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
4	fragmented_extreme	Isolated pangenome/synteny fragmentation and maximum contig count	CANON_00522	GCA_023073275.1	GENBANK	current	current_genbank_singleton	unpaired	Bradyrhizobium sp. 24	Scaffold	8480105	63	4137	3099	0.095422	-0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
5	genome_size_outlier_isolated	Genome-size-only outlier with maximum absolute modified z-score	CANON_02183	GCA_943370715.1	GENBANK	current	current_genbank_singleton	unpaired	Bradyrhizobium ivorense	Contig	3864310	64.5	123	53010	-3.517934	1.349	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	genome_size_outlier	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
6	gc_percent_outlier_isolated	GC-only outlier with maximum absolute modified z-score	CANON_01538	GCA_047621665.1	GENBANK	current	current_genbank_singleton	unpaired	Bradyrhizobium sp.	Contig	4000296	57.5	126	52099	-3.411481	-8.094	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
7	missing_gc_percent_isolated	Missing-GC-only case nearest the genome-size median	CANON_00202	GCF_005165845.1	REFSEQ	current	current_refseq_preferred	paired	Bradyrhizobium sp. WBAH41	Chromosome	8294020		1	8293920	-0.05025		manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	missing_gc_percent	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
8	refseq_to_genbank_fallback_isolated	Fallback-only case nearest both metadata medians	CANON_00272	GCA_014194605.1	GENBANK	current	fallback_current_genbank	paired	Bradyrhizobium lupini	Scaffold	9132369	63.5	69	621359	0.60603	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
9	broken_pair	Broken-pair case nearest both metadata medians	CANON_02143	GCA_059803835.1	GENBANK	current	broken_pair_current_genbank	broken_pair	Bradyrhizobium sp. UFLA01-860	Contig	9233800	63.5	401	40778	0.685432	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	broken_pair;synteny_fragmented	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
10	synteny_threshold_edge	Clean primary candidate with minimum normalized synteny-threshold miss	CANON_02198	GCA_964504705.1	GENBANK	current	current_genbank_singleton	unpaired	uncultured Bradyrhizobium sp.	Scaffold	4546614	65	145	49535	-2.98381	2.0235	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented	1d02aca00b4390a5b0f0b89d7ff90eb570dab4d627fce422ee7aa3294869a7f8	ad28cb500b1d6acb168f3b023d8976d33e229952c926ec0654df67790c379a8d
