canonical_id	gcf_accession	gca_accession	pair_status	missing_partner_accession	original_representative_accession	original_representative_status	selected_accession	selected_source	selected_status	selection_reason	organism_name	tax_id	strain	assembly_level	genome_size_bp	gc_percent	number_of_contigs	contig_n50	genome_size_modified_z	gc_percent_modified_z	metadata_decision	pangenome_contiguity_class	synteny_class	sequence_qc_status	taxonomy_qc_status	flags
CANON_00001	GCF_000011365.1	GCA_000011365.1	paired		GCF_000011365.1	current	GCF_000011365.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens USDA 110	224911	USDA110	Complete Genome	9105828	64	1	9105828	0.585253	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00002	GCF_000015165.1	GCA_000015165.1	paired		GCF_000015165.1	current	GCF_000015165.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. BTAi1	288000	BTAi1	Complete Genome	8493513	65	2	8264687	0.105918	2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00003	GCF_000026145.1	GCA_000026145.1	paired		GCF_000026145.1	current	GCF_000026145.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. ORS 278	114615	ORS278	Complete Genome	7456587	65.5	1	7456587	-0.705813	2.698	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00004	GCF_000239755.1	GCA_000239755.2	paired		GCF_000239755.1	current	GCF_000239755.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. ORS 285	115808	ORS 285	Contig	7602254	65	301	61775	-0.591781	2.0235	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00005	GCF_000239775.1	GCA_000239775.2	paired		GCF_000239775.1	current	GCF_000239775.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. ORS 375	566679	ORS375	Scaffold	7859468	65.5	498	28702	-0.390428	2.698	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00006	GCF_000239795.1	GCA_000239795.2	paired		GCF_000239795.1	current	GCF_000239795.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. STM 3809	551936	STM 3809	Contig	7311748	66	803	14901	-0.819196	3.3725	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00007	GCF_000239815.1	GCA_000239815.2	paired		GCF_000239815.1	current	GCF_000239815.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. STM 3843	551947	STM 3843	Scaffold	8434788	63.5	351	43838	0.059946	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00008	GCF_000244915.1	GCA_000244915.1	paired		GCF_000244915.1	current	GCF_000244915.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM471	319017	WSM471	Chromosome	7784016	63.5	2	6645911	-0.449494	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00009	GCF_000244935.1	GCA_000244935.1	paired		GCF_000244935.1	current	GCF_000244935.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM1253	319003	WSM1253	Scaffold	8719808	63	71	249387	0.283067	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00010	GCF_000257685.2	GCA_000257685.2	paired		GCF_000257685.2	suppressed	GCA_000257685.2	GENBANK	current	fallback_current_genbank	Bradyrhizobium elkanii 587	1156987	587	Contig	8673157	63.5	2430	6929	0.246547	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00011	GCF_000261505.1	GCA_000261505.1	paired		GCF_000261505.1	current	GCF_000261505.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii CCBAU 05737	1128203	CCBAU 05737	Contig	9773178	63.5	751	25010	1.10767	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00012	GCF_000261525.1	GCA_000261525.1	paired		GCF_000261525.1	current	GCF_000261525.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii CCBAU 43297	1128204	CCBAU 43297	Contig	9347700	63.5	654	25032	0.774596	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00013	GCF_000261545.1	GCA_000261545.1	paired		GCF_000261545.1	current	GCF_000261545.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum CCBAU 15354	1128253	CCBAU 15354	Contig	10126594	63.5	951	20991	1.384333	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00014	GCF_000261565.1	GCA_000261565.1	paired		GCF_000261565.1	current	GCF_000261565.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum CCBAU 15517	1128254	CCBAU 15517	Contig	9917031	63.5	1129	16836	1.220282	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00015	GCF_000261585.1	GCA_000261585.1	paired		GCF_000261585.1	current	GCF_000261585.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum CCBAU 15618	1128255	CCBAU 15618	Contig	9824012	63.5	691	28568	1.147464	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00016	GCF_000261605.1	GCA_000261605.1	paired		GCF_000261605.1	current	GCF_000261605.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum CCBAU 25435	1128256	CCBAU 25435	Contig	9460795	63.5	520	34354	0.863129	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00017	GCF_000261625.1	GCA_000261625.1	paired		GCF_000261625.1	current	GCF_000261625.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum CCBAU 83623	1128257	CCBAU 83623	Contig	10074298	63.5	1212	16446	1.343394	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00018	GCF_000261645.1	GCA_000261645.1	paired		GCF_000261645.1	current	GCF_000261645.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense CCBAU 05525	1128287	CCBAU 05525	Contig	8164124	64	1040	16180	-0.151936	0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00019	GCF_000261665.1	GCA_000261665.1	paired		GCF_000261665.1	current	GCF_000261665.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense CCBAU 83689	1128288	CCBAU 83689	Contig	8009819	64	1133	13248	-0.27273	0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00020	GCF_000261685.1	GCA_000261685.1	paired		GCF_000261685.1	current	GCF_000261685.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium genomosp. I (2014)	2683269	CCBAU 43298	Contig	7916986	64	508	29185	-0.345402	0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00021	GCF_000261705.1	GCA_000261705.1	paired		GCF_000261705.1	current	GCF_000261705.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium genomosp. III	2683271	CCBAU 15544	Contig	8484383	63.5	612	26160	0.09877	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
